,Date Time, Monitor ID, Location ID, CO(ppm),data.temp_c,data.hum_prcnt,data.press_hpa,data.eq_db,data.onesmin_db,data.onesmax_db,data.co_ppm,data.no2_ppb,data.co_mv,data.no2_mv,data.x_g,data.y_g,data.z_g,data.x_raw,data.y_raw,data.z_raw,data.lux_lx,data.uv_mwpm2,data.nc0p5_npcm3,data.nc1p0_npcm3,data.nc2p5_npcm3,data.nc4p0_npcm3,data.nc10p0_npcm3,data.mc1p0_ugpm3,data.mc2p5_ugpm3,data.mc4p0_ugpm3,data.mc10p0_ugpm3,data.typ_pm_um,data.ozone_ppm,data.ozone_volt_mv,data.tvoc_ppb,data.batt_prcnt,data.batt_volt,data.bme280_int,data.speco3_int,data.mic_int,data.mic4514_int,data.mic4514pre_int,data.sgpc3_int,data.sps30_int,data.sps30pre_int,data.lis3dh_int,data.si1133_int,data.batt_int,data.leds_on,data.code_version,data.gps_avg_snr,data.cell_strength_dbm,data.wifi_strength_dbm,data.wifi_strength_asl,data.location.lat,data.location.lon,data.location.acc,data.timestamp
32,2021-09-16 18:26:00,1,1,0.0,31.15,35.809,938.258,61.134,49.402,76.696,626.0,3378.0,2256.0,1446.0,-0.032,-0.016,0.064,65024.0,65280.0,1024.0,47.229,0.349,323.289,367.956,368.841,368.993,369.092,46.216,48.871,48.871,48.871,0.482,8.0,-167.0,0.0,95.0,4106.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,0.0,,-41.0,4.0,17.445,78.35,15.058,1631797012733.0
35,2021-09-16 18:29:00,1,1,24.05,31.125,36.122,938.273,56.861,53.295,68.08,535.5,3005.0,2000.5,1341.5,0.04,-0.008,0.0,640.0,32640.0,0.0,51.474,0.388,74.832,85.171,85.376,85.411,85.434,10.698,11.312,11.312,11.312,0.502,10.0,-198.0,0.0,95.0,4094.5,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,0.0,,-47.5,4.0,17.445,78.35,14.574,1631797169954.0
36,2021-09-16 18:30:00,1,1,24.23,31.13,35.929,938.872,61.401,49.656,78.638,852.0,4339.0,2882.0,1713.0,-0.016,-0.016,-0.08,65280.0,65280.0,64256.0,53.281,0.117,2119.049,2411.829,2417.628,2418.625,2419.273,302.929,320.336,320.336,320.336,0.506,14.0,-279.0,0.0,95.0,4079.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,0.0,,-45.0,4.0,17.445,78.35,12.753,1631797216276.0
37,2021-09-16 18:31:00,1,1,24.25,31.18,35.932,938.316,49.309,48.265,50.192,848.0,4539.0,2877.0,1768.0,-0.016,-0.016,-0.048,65280.0,65280.0,64768.0,50.186,1.017,1137.803,1295.008,1298.122,1298.657,1299.005,162.655,172.001,172.001,172.001,0.482,17.0,-347.0,0.0,95.0,4108.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,0.0,,-44.0,4.0,17.445,78.35,14.057,1631797264772.0
38,2021-09-16 18:32:00,1,1,24.3,31.225,36.021,938.31,48.733,47.71,49.957,845.0,4526.5,2867.5,1764.0,-0.016,0.0,-0.056,65280.0,0.0,64640.0,52.984,0.709,705.083,802.501,804.431,804.763,804.978,100.795,106.587,106.587,106.587,0.472,13.0,-258.5,0.0,95.0,4093.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,0.0,,-48.5,4.0,17.445,78.35,13.852,1631797350335.5
40,2021-09-16 18:34:00,1,1,22.68,31.33,36.162,938.318,48.147,47.007,49.632,844.0,4442.0,2866.0,1752.0,-0.016,-0.016,-0.112,65280.0,65280.0,63744.0,52.728,0.478,422.069,480.384,481.539,481.737,481.867,60.337,63.804,63.804,63.804,0.456,15.0,-304.0,0.0,94.0,4102.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,0.0,,-52.0,4.0,17.445,78.35,14.302,1631797497913.0
43,2021-09-16 18:37:00,1,1,22.48,31.4,36.179,938.334,60.352,47.045,78.136,834.0,4346.0,2836.0,1718.0,-0.016,-0.016,0.032,65280.0,65280.0,512.0,50.936,0.562,301.242,342.863,343.687,343.829,343.921,43.064,45.539,45.539,45.539,0.481,5.0,-105.0,0.0,95.0,4083.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,0.0,,-52.0,4.0,17.445,78.35,14.295,1631797631470.0
45,2021-09-16 18:39:00,1,1,22.53,31.51,36.249,938.391,48.461,47.214,48.787,833.0,4267.0,2829.0,1694.0,0.0,-0.016,-0.096,0.0,65280.0,64000.0,55.348,0.202,225.996,257.221,257.839,257.945,258.015,32.307,34.164,34.164,34.164,0.48,18.0,-363.0,0.0,94.0,4089.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,0.0,,-52.0,4.0,17.445,78.35,14.197,1631797795439.0
48,2021-09-16 18:42:00,1,1,22.67,31.59,36.316,938.458,47.648,46.663,48.62,831.0,4260.0,2828.0,1691.0,0.032,-0.016,0.08,512.0,65280.0,1280.0,55.608,0.569,174.972,199.148,199.626,199.709,199.762,25.013,26.451,26.451,26.451,0.453,13.0,-250.0,0.0,94.0,4080.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,0.0,,-52.0,4.0,17.445,78.35,14.297,1631797935762.0
50,2021-09-16 18:44:00,1,1,22.74,31.67,36.395,938.408,47.878,47.408,48.108,832.0,4235.0,2826.0,1684.0,-0.016,0.0,-0.032,65280.0,0.0,65024.0,55.379,0.14,160.568,182.753,183.192,183.268,183.317,22.954,24.273,24.273,24.273,0.438,3.0,-63.0,0.0,94.0,4082.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,0.0,,-52.0,4.0,17.445,78.35,14.161,1631798062168.0
